,artist,song_name,song_popularity,song_year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
87,Duncan Laurence,Arcade,1.0,2019,0.45,0.329,0.32956937799043057,0.0,0.0441,0.8180000000000001,0.00109,0.135,0.266,0.12163702093102456,183624.0,3.0
0,Måneskin,ZITTI E BUONI,0.8452380952380952,2021,0.62,0.9440000000000001,0.9369696969696969,0.0,0.0863,0.0014,0.0,0.733,0.592,0.32557697849265194,192655.0,4.0
40,Daði Freyr,Think About Things,0.8214285714285714,2020,0.871,0.341,0.5637639553429026,0.0,0.057600000000000005,0.031100000000000003,0.000124,0.0838,0.612,0.48260550650983686,173386.0,4.0
3,Barbara Pravi,Voilà,0.8095238095238095,2021,0.447,0.337,0.5807974481658692,0.0,0.0631,0.773,0.0,0.298,0.603,0.5374741309302387,176816.0,4.0
416,maNga,We Could Be The Same - Istanbul,0.7857142857142857,2010,0.661,0.887,0.8619457735247209,0.0,0.0413,0.0388,0.0,0.0441,0.745,0.5220116312576952,183137.0,4.0
6,Daði Freyr,10 Years,0.7738095238095238,2021,0.798,0.621,0.6923763955342902,0.0,0.0391,0.014100000000000001,0.000148,0.0926,0.443,0.4566512980378803,166000.0,4.0
5,Tusse,Voices,0.7619047619047619,2021,0.503,0.759,0.8004465709728866,0.0,0.042300000000000004,0.00237,1.06e-06,0.13,0.396,0.24037932570141202,184000.0,4.0
9,Gjon's Tears,Tout l'univers,0.7619047619047619,2021,0.534,0.365,0.5474960127591706,0.0,0.033,0.81,2.52e-06,0.158,0.23700000000000002,0.4594543263563252,183707.0,4.0
43,Various Artists,Husavik (My Hometown),0.7619047619047619,2020,0.509,0.46,0.5929824561403508,1.0,0.0335,0.523,0.0,0.112,0.291,0.5219985329945249,202286.0,4.0
345,Loreen,Euphoria,0.7619047619047619,2012,0.518,0.679,0.7887081339712919,0.0,0.035500000000000004,0.079,4.85e-05,0.058800000000000005,0.106,0.5163007885154428,214133.0,4.0
415,Lena,Satellite,0.7619047619047619,2010,0.68,0.857,0.8407017543859648,0.0,0.23800000000000002,0.20400000000000001,0.0,0.0414,0.924,0.27255520917926285,175507.0,4.0
20,TIX,Fallen Angel,0.7380952380952381,2021,0.542,0.647,0.8163317384370016,1.0,0.027700000000000002,0.07100000000000001,0.0,0.108,0.281,0.259921934351505,173786.0,4.0
12,Efendi,Mata Hari,0.7261904761904762,2021,0.706,0.675,0.7663795853269537,0.0,0.0386,0.0128,0.000355,0.263,0.463,0.305392554947214,160981.0,4.0
4,THE ROOP,Discoteque,0.7142857142857143,2021,0.8260000000000001,0.799,0.743157894736842,1.0,0.0594,0.0477,0.00206,0.125,0.628,0.40403557488277064,180522.0,4.0
42,Little Big,UNO,0.7142857142857143,2020,0.836,0.909,0.8122488038277512,1.0,0.07350000000000001,0.00204,0.00316,0.057,0.788,0.5812026825242974,160756.0,4.0
245,Måns Zelmerlöw,Heroes,0.7142857142857143,2015,0.484,0.791,0.8611802232854864,1.0,0.0437,0.0743,0.0,0.049100000000000005,0.369,0.46300395567547753,190613.0,4.0
14,Manizha,RUSSIAN WOMAN,0.7023809523809523,2021,0.89,0.7010000000000001,0.6831259968102072,0.0,0.194,0.20400000000000001,0.0,0.0741,0.652,0.31887721688104165,176878.0,4.0
344,Loreen,Euphoria - Single Version,0.7023809523809523,2012,0.562,0.783,0.8320255183413078,0.0,0.042800000000000005,0.135,1.4400000000000001e-05,0.28200000000000003,0.391,0.5157375631991198,181787.0,4.0
55,Diodato,Fai rumore,0.6904761904761905,2020,0.417,0.626,0.747304625199362,1.0,0.0366,0.218,0.0,0.0805,0.14400000000000002,0.589729651848165,216140.0,4.0
214,Amir,J'ai cherché,0.6904761904761905,2016,0.5660000000000001,0.875,0.8262200956937799,1.0,0.0444,0.0263,0.0,0.17,0.489,0.4371545333088833,212280.0,4.0
